,class,height,width,distance
0,Car,36.18000000000001,21.580000000000013,58.49
1,Car,42.680000000000064,33.25999999999999,34.38
2,Car,113.06999999999994,102.98999999999998,13.22
3,Car,64.51999999999998,30.49000000000001,38.26
4,Car,40.97000000000003,20.659999999999997,51.17
5,Car,24.399999999999977,23.089999999999975,48.22
6,Car,70.19000000000005,40.81,31.73
7,Car,177.71999999999997,61.31,19.72
8,Car,68.57,33.50999999999999,38.44
9,Car,51.809999999999945,50.150000000000006,25.01
10,Car,30.95999999999998,22.329999999999984,47.55
11,Car,23.220000000000027,18.23999999999998,60.52
12,Car,402.31,181.63,3.68
13,Car,289.65,193.10000000000002,7.86
14,Car,303.71000000000004,176.61,6.15
15,Car,123.30999999999995,84.95999999999998,14.44
16,Car,51.07000000000005,39.599999999999994,33.2
17,Car,71.88999999999999,61.870000000000005,19.96
18,Car,57.18999999999994,52.5,23.88
19,Car,24.50999999999999,16.22,66.37
20,Car,23.470000000000027,15.370000000000005,68.25
21,Car,227.61,191.54,5.2
22,Car,195.08999999999997,108.97,11.8
23,Car,107.22000000000003,73.44,16.5
24,Car,78.21000000000004,52.5,22.05
25,Car,76.5,51.57000000000002,23.64
26,Car,53.950000000000045,39.48999999999998,29.07
27,Car,55.389999999999986,42.06,28.53
28,Car,43.47000000000003,28.789999999999992,42.85
29,Car,60.65999999999997,54.78,26.64
30,Car,85.92,156.88,4.13
31,Car,28.00999999999999,19.180000000000007,58.84
32,Car,78.10999999999996,58.04999999999998,20.13
33,Car,28.360000000000014,18.170000000000016,59.81
34,Car,414.71,178.3,4.1
35,Car,33.14999999999998,22.78,44.41
36,Car,49.360000000000014,33.06999999999999,33.13
37,Car,386.2,180.44,6.05
38,Car,33.03000000000003,23.430000000000007,46.74
39,Car,63.32000000000005,26.22999999999999,47.16
40,Car,27.24000000000001,24.859999999999985,47.02
41,Car,202.14999999999998,136.89999999999998,9.72
42,Car,24.409999999999968,20.22999999999999,59.59
43,Car,119.63,76.77999999999997,15.58
44,Car,156.86999999999995,91.67000000000002,13.3
45,Car,115.07000000000005,83.12,17.6
46,Car,66.00999999999999,44.03999999999999,25.97
47,Car,61.83000000000004,50.56,26.83
48,Car,55.8900000000001,43.25,32.13
49,Car,43.55000000000007,40.47,31.78
50,Car,90.24000000000001,37.72,31.72
51,Car,99.19999999999999,40.18000000000001,31.61
52,Car,39.25999999999999,23.04000000000002,55.08
53,Car,47.129999999999995,33.66,36.37
54,Car,36.75,27.659999999999997,38.09
55,Car,27.829999999999984,20.370000000000005,52.01
56,Car,344.89,155.83,3.14
57,Car,185.93,125.44999999999999,10.42
58,Car,56.00999999999999,43.900000000000006,30.18
59,Car,81.17999999999995,71.03,17.48
60,Car,59.17000000000007,49.21000000000001,22.3
61,Car,20.719999999999914,16.810000000000002,68.34
62,Car,16.190000000000055,12.879999999999995,73.46
63,Car,37.85000000000002,30.03,41.53
64,Car,29.190000000000055,26.039999999999992,41.9
65,Car,155.74,116.83000000000001,12.2
66,Car,242.9699999999999,161.08,8.46
67,Car,136.84000000000003,97.97,13.14
68,Car,52.26999999999998,43.31,26.41
69,Car,257.37,155.37,9.0
70,Car,238.19000000000005,153.07,8.6
71,Car,151.48000000000002,93.39000000000001,13.47
72,Car,68.31999999999994,57.370000000000005,19.85
73,Car,81.15999999999997,55.22999999999999,25.25
74,Car,36.76999999999998,25.409999999999997,44.75
75,Car,18.50999999999999,14.670000000000016,64.47
76,Car,234.52,132.64000000000001,10.15
77,Car,282.22999999999996,89.93999999999997,14.12
78,Car,55.160000000000025,22.170000000000016,49.04
79,Car,27.110000000000014,26.789999999999992,46.7
80,Car,103.79000000000002,83.62999999999997,16.31
81,Car,85.45999999999998,46.140000000000015,27.71
82,Car,140.51,133.15,10.13
83,Car,49.22999999999996,24.069999999999993,46.01
84,Car,50.89999999999998,24.370000000000005,44.69
85,Car,42.51999999999998,22.310000000000002,50.4
86,Car,144.23000000000002,45.81999999999999,26.68
87,Car,86.56999999999994,44.150000000000006,26.55
88,Car,117.88000000000011,160.22,4.08
89,Car,72.84000000000003,66.41000000000003,19.43
90,Car,62.660000000000025,42.859999999999985,24.49
91,Car,45.469999999999914,43.02000000000001,28.28
92,Car,345.65,215.45,6.69
93,Car,220.36,125.41,10.4
94,Car,190.85000000000002,85.31,14.02
95,Car,32.19999999999999,20.5,50.9
96,Car,106.70999999999998,61.650000000000006,18.66
97,Car,114.27999999999997,47.30000000000001,24.75
98,Car,85.86999999999989,34.400000000000006,31.46
99,Car,38.06,24.419999999999987,52.04
100,Car,31.02000000000004,20.960000000000008,58.61
101,Car,24.370000000000005,18.25,59.96
102,Car,352.1,180.53,7.17
103,Car,93.35000000000002,72.58000000000001,16.67
104,Car,40.66000000000008,34.99000000000001,33.82
105,Car,49.69999999999993,40.0,29.48
106,Car,24.629999999999995,22.53,48.95
107,Car,27.74000000000001,25.169999999999987,49.29
108,Car,42.14000000000004,31.680000000000007,35.37
109,Car,69.41000000000003,27.0,41.75
110,Car,28.519999999999982,28.189999999999998,44.49
111,Car,365.5,170.56,5.22
112,Car,129.16000000000003,92.46000000000001,13.93
113,Car,198.21999999999997,84.99999999999997,15.21
114,Car,106.71000000000004,65.39000000000001,21.96
115,Car,73.38,42.34,27.06
116,Car,68.25,42.91,31.88
117,Car,45.04000000000002,28.289999999999992,41.53
118,Car,37.889999999999986,24.269999999999982,46.7
119,Car,47.50999999999999,45.22,26.76
120,Car,37.25999999999999,38.860000000000014,35.33
121,Car,318.39999999999986,222.31,7.64
122,Car,101.29000000000008,79.36000000000001,15.65
123,Car,42.930000000000064,38.09,32.3
124,Car,37.860000000000014,30.609999999999985,38.2
125,Car,51.80000000000007,47.22,26.54
126,Car,171.41,122.6,10.68
127,Car,208.56,127.78000000000003,12.25
128,Car,96.18,49.420000000000016,23.68
129,Car,69.82,45.43000000000001,25.13
130,Car,30.440000000000055,25.829999999999984,47.7
131,Car,180.39,67.25,17.75
132,Car,101.11999999999998,48.099999999999994,25.9
133,Car,61.809999999999945,50.19,21.55
